speed,volume,weather,time_of_day,congestion_level,location,day_of_week,is_weekend,holiday,special_event,speed_volume,road_status,road_type,Is_Peak_Hour
47,71.68,sunny,18:19:00,low,Balkumari,Monday,0,0,0,3368.96,Heavy Traffic,Main Road,1
42,210.944,foggy,21:34:00,medium,Boudha,Sunday,0,0,0,8859.648,Moderate,Highway,1
52,200.192,sunny,22:57:00,low,Durbar Marg,Thursday,0,0,0,10409.984,Heavy Traffic,Main Road,1
43,259.584,rainy,15:22:00,high,Tokha,Saturday,1,0,0,11162.112,Heavy Traffic,Main Road,1
53,264.96,rainy,18:47:00,medium,Koteshwor,Wednesday,0,0,0,14042.88,Heavy Traffic,Highway,1
43,234.24,rainy,16:32:00,high,Balkumari,Saturday,1,0,0,10072.32,Moderate,Main Road,1
48,370.944,sunny,08:26:00,low,Lalitpur,Wednesday,0,0,0,17805.312,Moderate,Main Road,1
52,123.648,sunny,20:43:00,low,Butwal,Sunday,0,0,0,6429.696,Heavy Traffic,Local Road,1
60,118.272,sunny,06:19:00,low,New Road,Thursday,0,0,0,7096.32,Heavy Traffic,Main Road,1
56,196.608,sunny,06:41:00,low,Koteshwor,Wednesday,0,0,0,11010.048,Moderate,Main Road,1
47,113.664,sunny,12:07:00,low,Thamel,Wednesday,0,0,0,5342.208,Heavy Traffic,Local Road,1
68,119.808,cloudy,07:02:00,low,Boudha,Thursday,0,0,0,8146.944,Moderate,Main Road,1
47,169.728,cloudy,21:09:00,low,Tokha,Monday,0,0,0,7977.216,Low,Local Road,0
56,202.24,foggy,23:00:00,medium,Kuleshwor,Thursday,0,0,0,11325.44,Moderate,Highway,1
47,380.928,sunny,13:25:00,low,Thamel,Sunday,0,0,0,17903.616,Low,Local Road,0
42,280.32,sunny,11:49:00,low,Kuleshwor,Monday,0,0,0,11773.44,Low,Local Road,0
49,125.952,cloudy,04:33:00,low,Butwal,Sunday,0,0,0,6171.648,Moderate,Main Road,1
70,205.312,sunny,07:58:00,low,Kirtipur,Thursday,0,0,0,14371.84,Moderate,Main Road,1
52,316.416,rainy,10:05:00,medium,New Road,Sunday,0,0,0,16453.632,Heavy Traffic,Main Road,1
49,107.52,foggy,00:16:00,medium,Durbar Marg,Wednesday,0,0,0,5268.48,Heavy Traffic,Highway,1
52,194.304,foggy,22:55:00,medium,Balkumari,Sunday,0,0,0,10103.808,Moderate,Main Road,1
55,206.592,rainy,20:19:00,medium,Kirtipur,Friday,0,0,0,11362.56,Heavy Traffic,Main Road,1
44,233.856,cloudy,05:51:00,high,Lalitpur,Saturday,1,0,0,10289.664,Moderate,Main Road,1
43,244.224,rainy,00:13:00,medium,Lazimpat,Sunday,0,0,0,10501.632,Moderate,Main Road,1
54,261.888,cloudy,08:42:00,low,Kathmandu,Sunday,0,0,0,14141.952,Heavy Traffic,Main Road,1
58,354.048,rainy,11:21:00,medium,New Road,Thursday,0,0,0,20534.784,Moderate,Local Road,1
45,254.208,sunny,03:19:00,low,Balkumari,Thursday,0,0,0,11439.36,Moderate,Local Road,0
49,382.464,rainy,01:12:00,medium,Durbar Marg,Monday,0,0,0,18740.736,Heavy Traffic,Highway,1
53,154.624,cloudy,08:40:00,low,Lalitpur,Monday,0,0,0,8195.072,Heavy Traffic,Main Road,1
51,323.328,sunny,23:50:00,low,New Road,Sunday,0,0,0,16489.728,Moderate,Local Road,1
42,163.584,sunny,10:31:00,low,Lalitpur,Friday,0,0,0,6870.528,Moderate,Local Road,1
55,2293.3125,cloudy,09:55:00,medium,Butwal,Monday,0,0,0,126132.1875,Heavy Traffic,Highway,1
44,230.912,foggy,19:44:00,medium,Kirtipur,Tuesday,0,0,0,10160.128,Heavy Traffic,Main Road,1
47,140.288,cloudy,06:04:00,low,Pokhara,Sunday,0,0,0,6593.536,Moderate,Local Road,1
53,120.832,sunny,13:50:00,low,Kirtipur,Monday,0,0,0,6404.096,Moderate,Main Road,1
47,88.32,sunny,16:08:00,high,New Road,Saturday,1,0,0,4151.04,Heavy Traffic,Main Road,1
32,112.128,cloudy,18:45:00,low,Kathmandu,Friday,0,0,0,3588.096,Heavy Traffic,Highway,1
43,116.352,cloudy,14:56:00,high,Pokhara,Tuesday,0,0,1,5003.136,Moderate,Main Road,1
56,373.248,sunny,19:57:00,low,Bhaktapur,Wednesday,0,0,0,20901.888,Moderate,Local Road,1
51,210.944,cloudy,20:14:00,low,Koteshwor,Thursday,0,0,0,10758.144,Low,Local Road,0
53,108.032,foggy,16:58:00,medium,Bhaktapur,Thursday,0,0,0,5725.696,,,
44,358.656,foggy,19:13:00,medium,Thamel,Sunday,0,0,0,15780.864,,,
48,182.016,foggy,16:55:00,high,Durbar Marg,Tuesday,0,0,1,8736.768,,,
49,951.75,rainy,17:10:00,high,Kuleshwor,Friday,0,0,0,46635.75,,,
45,184.32,cloudy,03:30:00,low,Godavari,Sunday,0,0,0,8294.4,,,
49,240.64,cloudy,04:18:00,low,Bhaktapur,Thursday,0,0,0,11791.36,,,
47,569.088,foggy,07:25:00,medium,Tokha,Thursday,0,0,0,26747.136,,,
43,272.64,sunny,11:02:00,low,New Road,Thursday,0,0,0,11723.52,,,
52,181.248,rainy,20:27:00,high,New Road,Monday,0,1,0,9424.896,,,
50,177.408,sunny,01:58:00,low,Koteshwor,Tuesday,0,0,0,8870.4,,,
60,243.456,foggy,13:47:00,medium,Balkumari,Tuesday,0,0,0,14607.36,,,
50,282.624,rainy,11:26:00,high,Pokhara,Friday,0,0,1,14131.2,,,
47,147.968,cloudy,04:10:00,low,Balkumari,Thursday,0,0,0,6954.496,,,
40,156.672,sunny,14:08:00,high,Kathmandu,Thursday,0,0,1,6266.88,,,
46,509.184,foggy,19:26:00,medium,Thamel,Sunday,0,0,0,23422.464,,,
51,176.64,cloudy,02:05:00,low,Kathmandu,Monday,0,0,0,9008.64,,,
56,99.328,foggy,16:54:00,medium,Lazimpat,Thursday,0,0,0,5562.368,,,
56,105.984,cloudy,19:30:00,low,Lazimpat,Monday,0,0,0,5935.104,,,
50,237.312,cloudy,15:05:00,high,Kathmandu,Thursday,0,0,1,11865.6,,,
43,153.6,rainy,10:36:00,medium,Madhyapur Thimi,Tuesday,0,0,0,6604.8,,,
47,1847.8125,rainy,17:41:00,high,Kirtipur,Tuesday,0,0,0,86847.1875,,,
56,313.344,sunny,18:15:00,low,Godavari,Monday,0,0,0,17547.264,,,
56,549.504,foggy,06:08:00,high,Pokhara,Saturday,1,0,0,30772.224,,,
54,290.304,rainy,05:56:00,high,Balkumari,Saturday,1,0,0,15676.416,,,
47,173.568,sunny,12:35:00,low,Lazimpat,Wednesday,0,0,0,8157.696,,,
45,303.36,rainy,08:10:00,high,Butwal,Saturday,1,0,0,13651.2,,,
48,90.624,foggy,10:14:00,medium,Lalitpur,Thursday,0,0,0,4349.952,,,
